Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/bhadrauli/status/1725435646079373778,unblemishReload,https://twitter.com/bhadrauli,2023-11-17,"In #Berlin, the streets echoed with support for #Palestine as Germany refused to stay silent #FreePalestineFromIsrael #IsraelIsATerrorist #Palestine #AlShifaHospital #???_????? #Gaza_War #IsraelAttack #IsraeliNewNazism #SAvsAUS #FreePalestine #Jenin #Gaza #INDvsAUS #Israel",,https://twitter.com/bhadrauli/status/1725435646079373778,False,2,19,35,4K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/Tigrand/status/1725299033910935681,Tigran A. Avakian - ???? AvagyanReload,https://twitter.com/Tigrand,2023-11-16,"An attack by Israeli extremists on the Armenian quarter, the Armenians repelled the attack despite the numerical superiority of the attackers. Three Armenians between 15 and 17 years old were arrested. #israel #Azerbaijan",,https://twitter.com/Tigrand/status/1725299033910935681,False,24,114,198,14K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/prabhakar561/status/1724970048169656515,prabhakarReload,https://twitter.com/prabhakar561,2023-11-16,"Karla Vinueza, a public relations & social media strategist in NYC, ripped down posters of Israeli civilians kidnapped by Hamas terrorists. #Hamas_is_ISIS #HamasTerrorist #Israel #Gaza_War #USA #jews",,https://twitter.com/prabhakar561/status/1724970048169656515,False,13,26,69,8.5K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/TheMuslim786/status/1725363003040968749,The MuslimReload,https://twitter.com/TheMuslim786,2023-11-17,"In the West Bank city of Jenin, Israeli forces stormed the local hospital, forcing out all the doctors and nurses at gunpoint. This happened after literally beating up several paramedics and staff.  #Gaza #IsraelIsATerrorist #Palestine #Israel",,https://twitter.com/TheMuslim786/status/1725363003040968749,False,17,234,202,9.9K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1725271281430351981,AbierReload,https://twitter.com/abierkhatib,2023-11-16,"When they are not  busy planting fake evidence in a hospitals, they spend time terrorizing and insulting women  as the most moral army.#Israel",,https://twitter.com/abierkhatib/status/1725271281430351981,False,38,472,555,13K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725117759854370826,Quds News Network,https://twitter.com/QudsNen,2023-11-16,A journalist reveals the truth about Israeli control of foreign media in #Gaza. 'We only film what they allow us to film.' #Israel,,https://twitter.com/QudsNen/status/1725117759854370826,False,122,4K,5.1K,161K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/FionaDiomond/status/1725347907866349634,Fiona,https://twitter.com/FionaDiomond,2023-11-17,F*uk your avocados; we'd prefer to spend extra on Spanish ones.#IsraelIsATerrorist #Israel #Gaza #CeasefireNowInGaza,https://pbs.twimg.com/media/F_GqxnjXIAAqF2A?format=jpg&name=small,https://twitter.com/FionaDiomond/status/1725347907866349634,False,12,34,107,1.8K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725153099742957873,Quds News Network,https://twitter.com/QudsNen,2023-11-16,"The representative for the State of Palestine at the UN, to the #US. #Gaza""You don't get to say 'We stand with Palestinian Civilians' unless you stop sending arms to #Israel as it commits genocide"". #Israel",,https://twitter.com/QudsNen/status/1725153099742957873,False,86,2.2K,3.3K,103K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/MichaelRapaport/status/1725200160072806666,MichaelRapaport,https://twitter.com/MichaelRapaport,2023-11-16,If 10 Black People from America were taken Hostage in Gaza by Hamas the entire world would be on the same page! PERIOD!!!#Israel #Jewish #brittneygriner FREE ALL OF THEM !!!!!,,https://twitter.com/MichaelRapaport/status/1725200160072806666,False,3.9K,3.5K,3.1K,2.9M
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725117759854370826,Quds News NetworkReload,https://twitter.com/QudsNen,2023-11-16,A journalist reveals the truth about Israeli control of foreign media in #Gaza. 'We only film what they allow us to film.' #Israel,,https://twitter.com/QudsNen/status/1725117759854370826,False,122,4K,5.1K,161K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725153099742957873,Quds News NetworkReload,https://twitter.com/QudsNen,2023-11-16,"The representative for the State of Palestine at the UN, to the #US. #Gaza""You don't get to say 'We stand with Palestinian Civilians' unless you stop sending arms to #Israel as it commits genocide"". #Israel",,https://twitter.com/QudsNen/status/1725153099742957873,False,86,2.2K,3.3K,103K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/MichaelRapaport/status/1725200160072806666,MichaelRapaportReload,https://twitter.com/MichaelRapaport,2023-11-16,If 10 Black People from America were taken Hostage in Gaza by Hamas the entire world would be on the same page! PERIOD!!!#Israel #Jewish #brittneygriner FREE ALL OF THEM !!!!!,,https://twitter.com/MichaelRapaport/status/1725200160072806666,False,3.9K,3.5K,3.1K,2.9M
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/shaani092/status/1725368693054472566,Zeeshan Akram PTIReload,https://twitter.com/shaani092,2023-11-17,"He still tells children to be strong.Israel hated Allah and killed the Prophets in the past, and now they are killing the children of Palestine. #Gaza #Gazagenocide? #israel #hamas",,https://twitter.com/shaani092/status/1725368693054472566,False,11,36,51,9.7K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/idan_bg/status/1725210938616229918,Era GigmanReload,https://twitter.com/idan_bg,2023-11-16,The women rights activists are absent when it comes to Jewish women. Utter silence. @UNWomenWatch we see your hypocrisy. So watch the horrific acts of terror against Jewish women in #Israel by #Palestine Hamas terrorists.Graphic Warning,,https://twitter.com/idan_bg/status/1725210938616229918,False,9,50,59,5.9K
